DiodesIncorporated_FMMT416TD.pdf,Diodes Incorporated,FMMT416TD,polarity,NPN,mouser-transistors-page-1.csv
DiodesIncorporated_FMMT416TD.pdf,Diodes Incorporated,FMMT416TD,c_current_max,60 A,mouser-transistors-page-1.csv
DiodesIncorporated_FMMT416TD.pdf,Diodes Incorporated,FMMT416TD,ce_v_max,100 V,mouser-transistors-page-1.csv
DiodesIncorporated_FMMT416TD.pdf,Diodes Incorporated,FMMT416TD,min_op_temp,-55 C,mouser-transistors-page-1.csv
DiodesIncorporated_FMMT416TD.pdf,Diodes Incorporated,FMMT416TD,max_op_temp,150 C,mouser-transistors-page-1.csv
ONSemiconductor_NSVMMBT5401M3T5G.pdf,ON Semiconductor,NSVMMBT5401M3T5G,polarity,PNP,mouser-transistors-page-1.csv
ONSemiconductor_NSVMMBT5401M3T5G.pdf,ON Semiconductor,NSVMMBT5401M3T5G,c_current_max,-60 mA,mouser-transistors-page-1.csv
ONSemiconductor_NSVMMBT5401M3T5G.pdf,ON Semiconductor,NSVMMBT5401M3T5G,ce_v_max,-150 V,mouser-transistors-page-1.csv
ONSemiconductor_NSVMMBT5401M3T5G.pdf,ON Semiconductor,NSVMMBT5401M3T5G,min_op_temp,-55 C,mouser-transistors-page-1.csv
ONSemiconductor_NSVMMBT5401M3T5G.pdf,ON Semiconductor,NSVMMBT5401M3T5G,max_op_temp,150 C,mouser-transistors-page-1.csv
DiodesIncorporated_DXTN10060DFJBWQ-7.pdf,Diodes Incorporated,DXTN10060DFJBWQ-7,polarity,NPN,mouser-transistors-page-1.csv
DiodesIncorporated_DXTN10060DFJBWQ-7.pdf,Diodes Incorporated,DXTN10060DFJBWQ-7,c_current_max,6 A,mouser-transistors-page-1.csv
DiodesIncorporated_DXTN10060DFJBWQ-7.pdf,Diodes Incorporated,DXTN10060DFJBWQ-7,ce_v_max,60 V,mouser-transistors-page-1.csv
DiodesIncorporated_DXTN10060DFJBWQ-7.pdf,Diodes Incorporated,DXTN10060DFJBWQ-7,min_op_temp,-55 C,mouser-transistors-page-1.csv
DiodesIncorporated_DXTN10060DFJBWQ-7.pdf,Diodes Incorporated,DXTN10060DFJBWQ-7,max_op_temp,175 C,mouser-transistors-page-1.csv
