Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT3G,200,Gold parts: {'MMBTA92LT3G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT1G,200,Gold parts: {'MMBTA92LT3G': ['300']}
FP,CSEMS05382-1,BC546A,45,Gold parts: {'BC547': ['45']}
FP,CSEMS05382-1,BC546,30,Gold parts: {'BC547': ['45']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93L,300,Gold parts: {'MMBTA92LT3G': ['300']}
FP,CSEMS05382-1,BC548A,65,Gold parts: {'BC547': ['45']}
FP,CSEMS05382-1,BC548B,45,Gold parts: {'BC547': ['45']}
FP,CSEMS05382-1,BC548,65,Gold parts: {'BC547': ['45']}
FP,CSEMS05382-1,BC546A,30,Gold parts: {'BC547': ['45']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT3G,200,Gold vals: ['300']
FP,DIODS13249-1,BC817-40,25,Gold parts: {'BC818-25': ['25']}
FP,CSEMS05382-1,BC548C,45,Gold parts: {'BC547': ['45']}
FP,CSEMS05382-1,BC546B,30,Gold parts: {'BC547': ['45']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93LT1G,300,Gold parts: {'MMBTA92LT3G': ['300']}
FP,CSEMS05382-1,BC546,45,Gold parts: {'BC547': ['45']}
FP,DIODS13249-1,BC818-25,45,Gold vals: ['25']
FP,CSEMS05382-1,BC548C,65,Gold parts: {'BC547': ['45']}
FP,DIODS13249-1,BC817-25,25,Gold parts: {'BC818-25': ['25']}
FP,DIODS13249-1,BC817,25,Gold parts: {'BC818-25': ['25']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1G,200,Gold parts: {'MMBTA92LT3G': ['300']}
FP,CSEMS05382-1,BC548B,65,Gold parts: {'BC547': ['45']}
FP,SANKEN_STD01N,STD01N,30,Gold parts: {'STD01P': ['150']}
FP,DIODS13249-1,BC818-40,45,Gold parts: {'BC818-25': ['25']}
FP,CSEMS05382-1,BC546B,45,Gold parts: {'BC547': ['45']}
FP,CSEMS05382-1,BC548,45,Gold parts: {'BC547': ['45']}
FP,CSEMS05382-1,BC548A,45,Gold parts: {'BC547': ['45']}
FP,SANKEN_STD01N,STD01P,30,Gold vals: ['150']
FP,DIODS13249-1,BC817-16,25,Gold parts: {'BC818-25': ['25']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92L,200,Gold parts: {'MMBTA92LT3G': ['300']}
FN,MICROSEMICORPORATION_2N2484UB,2N2484UBC,60,Entities do not have doc MICROSEMICORPORATION_2N2484UB.
FN,DIODS13249-1,BC818-16,25,Entities do not have doc DIODS13249-1.
FN,DIODS13249-1,BC818,25,Entities do not have doc DIODS13249-1.
FN,DIODS13249-1,BC818-25,25,Entities do not have doc DIODS13249-1.
FN,MICROSEMICORPORATION_2N2484UB,2N2484UB,60,Entities do not have doc MICROSEMICORPORATION_2N2484UB.
FN,ONSEMICONDUCTOR_MMBTA06WT1G,SMMBTA06W,80,Entities do not have doc ONSEMICONDUCTOR_MMBTA06WT1G.
FN,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92L,300,Entities do not have doc ONSEMICONDUCTOR_MMBTA92LT1G.
