Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,TL051,TL051AID,2.4 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,INA240,INA240A3PW,1.8 MA,Entity parts: {'INA240A3PWR': ['1.8 MA']}
FN,OPA363,OPA2363IDGST,650 UA,Entity parts: {'OPA4364AIDR': ['1.1 MA']}
FN,THS4081,THS4082IDG4,2.9 MA,Entity parts: {'THS4082IDGNR': ['3.4 MA']}
FN,OPA363,OPA364IDG4,1.1 MA,Entity parts: {'OPA4364AIDR': ['1.1 MA']}
FN,INA211,INA212CIRSWT,65 UA,Entity parts: {'INA210BIDCKR': ['65 UA']}
FN,AMC1200-Q1,AMC1200-Q1,5.4 MA,Entity parts: {'AMC1200TDWVRQ1': ['5.4 MA']}
FN,TL051,TL054ACDR,7.9 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,TLV2474,TLV2472CDR,550 UA,Entity parts: {'TLV2472AIDR': ['600 UA']}
FN,TL051,TL051IP,2.7 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,TLV2474,TLV2471CDR,600 UA,Entity parts: {'TLV2472AIDR': ['600 UA']}
FN,TL051,TL052CDG4,4.7 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,TLV2474,TLV2471IP,550 UA,Entity parts: {'TLV2472AIDR': ['600 UA']}
FN,TLV2474,TLV2474AIPWP,550 UA,Entity parts: {'TLV2472AIDR': ['600 UA']}
FN,OPA2330,OPA4330AID,21 UA,Entity parts: {'OPA4330AIPWR': ['21 UA']}
FN,LM324-D,NCV2902,0.7 MA,Entity parts: {'LM324ADR2G': ['1.4 MA']}
FN,TL051,TL054CDE4,8.1 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,THS4081,THS4081CDR,2.9 MA,Entity parts: {'THS4082IDGNR': ['3.4 MA']}
FN,OPA191,OPA2191DR,140 UA,Entity parts: {'OPA191IDBVR': ['140 UA']}
FN,TLV2474,TLV2470CP,550 UA,Entity parts: {'TLV2472AIDR': ['600 UA']}
FN,TLV2474,TLV2472CDGNR,550 UA,Entity parts: {'TLV2472AIDR': ['600 UA']}
FN,NCS20071-D,NCS20071XV53T2G,410 UA,Entity parts: {'NCS20074DR2G': ['465 UA']}
FN,LM324-D,LM2902NG,0.7 MA,Entity parts: {'LM324ADR2G': ['1.4 MA']}
FN,TL051,TL054CN,8.4 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,OPA2330,OPA4330,21 UA,Entity parts: {'OPA4330AIPWR': ['21 UA']}
FN,OPA552,OPA552PAG4,14.0,Entity parts: {'OPA552UA/2K5': ['7 MA']}
FN,LMV841,LMV844MAX/NOPB,1.03 MA,Entity parts: {'LMV842MM/NOPB': ['1.03 MA']}
FN,OPA363,OPA4364AIPWT,650 UA,Entity parts: {'OPA4364AIDR': ['1.1 MA']}
FN,TL051,TL052CP,4.6 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,OPA363,OPA364IDG4,650 UA,Entity parts: {'OPA4364AIDR': ['1.1 MA']}
FN,TL051,TL052CPSR,4.7 MA,Entity parts: {'TL052ACDR': ['4.8 MA']}
FN,NCS20071-D,NCV20074DR2G,416 UA,Entity parts: {'NCS20074DR2G': ['465 UA']}
FN,OPA2357,OPA2357AIDGSRG4,4.9 MA,Entity parts: {'OPA2357AIDGST': ['4.9 MA']}
